time,seconds_elapsed,z,y,x
1716403992923079400,0.268079345703125,0.12347412109375,-0.00872802734375,-0.07171630859375
1716403992933150200,0.278150146484375,0.1160125732421875,-0.0598602294921875,-0.0557403564453125
1716403992943221000,0.288220947265625,0.1160125732421875,-0.1045989990234375,-0.0152587890625
1716403992953291800,0.298291748046875,0.11175537109375,-0.1365509033203125,0.0241546630859375
1716403992963362600,0.308362548828125,0.07659912109375,-0.1983489990234375,0.030548095703125
1716403992973433300,0.318433349609375,-0.0959625244140625,-0.5679931640625,0.0081787109375
1716403992983504100,0.328504150390625,-0.2333831787109375,-0.3581390380859375,0.1157684326171875
1716403992993575000,0.338574951171875,-0.2259368896484375,-0.0236358642578125,0.2340087890625
1716403993003676200,0.34867626953125,-0.113006591796875,0.1212310791015625,0.3064422607421875
1716403993013747000,0.358746826171875,-0.0320587158203125,0.1127166748046875,0.3107147216796875
1716403993023848400,0.368848388671875,-0.002227783203125,0.0434722900390625,0.281951904296875
1716403993033919200,0.378919189453125,0.0137481689453125,0.0221710205078125,0.268096923828125
1716403993044020500,0.3890205078125,0.023345947265625,0.0104522705078125,0.2766265869140625
1716403993054121700,0.399121826171875,0.0297393798828125,-0.0108642578125,0.2883453369140625
1716403993064192500,0.409192626953125,0.0361175537109375,-0.0939483642578125,0.2957916259765625
1716403993074294000,0.4192939453125,0.0403900146484375,-0.2164459228515625,0.305389404296875
1716403993084395300,0.429395263671875,0.0318603515625,-0.2526702880859375,0.326690673828125
1716403993094496500,0.43949658203125,0.0063018798828125,-0.1749114990234375,0.3671722412109375
1716403993104598000,0.449597900390625,-0.0309906005859375,-0.0800933837890625,0.41937255859375
1716403993114699300,0.45969921875,-0.0618743896484375,-0.1056671142578125,0.464111328125
1716403993124800500,0.469800537109375,-0.0863800048828125,-0.28143310546875,0.4918060302734375
1716403993134901800,0.47990185546875,-0.101287841796875,-0.465728759765625,0.53228759765625
1716403993145033700,0.49003369140625,-0.11407470703125,-0.51898193359375,0.611114501953125
1716403993155135000,0.500135009765625,-0.1236724853515625,-0.3783721923828125,0.712310791015625
1716403993165236200,0.510236328125,-0.1428375244140625,-0.1610565185546875,0.7975311279296875
1716403993175337700,0.520337646484375,-0.1769256591796875,0.0551910400390625,0.8081817626953125
1716403993185469400,0.530469482421875,-0.181182861328125,0.0296173095703125,0.7751617431640625
1716403993195570700,0.54057080078125,-0.1545562744140625,-0.1621246337890625,0.73895263671875
1716403993205702700,0.55070263671875,-0.105560302734375,-0.282501220703125,0.72296142578125
