time,seconds_elapsed,z,y,x
1716403992923079400,0.268079345703125,0.2823209762573242,-0.33759593963623047,-0.48226046562194824
1716403992933150200,0.278150146484375,0.45235157012939453,-0.2407064437866211,-0.4753698706626892
1716403992943221000,0.288220947265625,0.5327129364013672,-0.17811870574951172,-0.4425617456436157
1716403992953291800,0.298291748046875,0.39890003204345703,-0.15079879760742188,-0.25694143772125244
1716403992963362600,0.308362548828125,-0.12766075134277344,-0.4262814521789551,0.9060388803482056
1716403992973433300,0.318433349609375,0.6712770462036133,-0.33826684951782227,1.063115119934082
1716403992983504100,0.328504150390625,1.525599479675293,0.20436620712280273,-0.034079551696777344
1716403992993575000,0.338574951171875,1.3851203918457031,0.5340914726257324,-0.9156848788261414
1716403993003676200,0.34867626953125,0.6752119064331055,0.4236788749694824,-1.093487024307251
1716403993013747000,0.358746826171875,0.04633903503417969,0.0679473876953125,-0.7213578224182129
1716403993023848400,0.368848388671875,-0.10605144500732422,-0.27043676376342773,-0.35733383893966675
1716403993033919200,0.378919189453125,-0.04191780090332031,-0.4029841423034668,-0.23705387115478516
1716403993044020500,0.3890205078125,0.029016494750976562,-0.31369972229003906,-0.2727115750312805
1716403993054121700,0.399121826171875,0.051849365234375,-0.09882354736328125,-0.29793626070022583
1716403993064192500,0.409192626953125,0.07256412506103516,0.07926702499389648,-0.28136610984802246
1716403993074294000,0.4192939453125,0.24144554138183594,0.17159652709960938,-0.17007410526275635
1716403993084395300,0.429395263671875,0.4887847900390625,0.14600324630737305,-0.019610702991485596
1716403993094496500,0.43949658203125,0.5977020263671875,0.030332565307617188,0.10054755210876465
1716403993104598000,0.449597900390625,0.30771541595458984,-0.1205587387084961,0.18214911222457886
1716403993114699300,0.45969921875,-0.16191959381103516,-0.16624879837036133,0.11014759540557861
1716403993124800500,0.469800537109375,-0.2591276168823242,-0.09019041061401367,-0.09986138343811035
1716403993134901800,0.47990185546875,0.17207050323486328,-0.003596782684326172,-0.20611435174942017
1716403993145033700,0.49003369140625,0.9456081390380859,0.04601001739501953,-0.21546781063079834
1716403993155135000,0.500135009765625,1.5407600402832031,0.03269004821777344,-0.13144230842590332
1716403993165236200,0.510236328125,1.420379638671875,0.07081794738769531,0.08948487043380737
1716403993175337700,0.520337646484375,0.6238107681274414,-0.17490482330322266,0.051205992698669434
1716403993185469400,0.530469482421875,-0.14686203002929688,-0.3858790397644043,-0.0855455994606018
1716403993195570700,0.54057080078125,-0.20004749298095703,-0.37108421325683594,-0.3286588191986084
1716403993205702700,0.55070263671875,-0.12521076202392578,-0.26641368865966797,-0.3491126298904419
1716403993215804000,0.560803955078125,0.045584678649902344,-0.13710737228393555,-0.1974177360534668
1716403993225936000,0.570935791015625,-0.05023908615112305,-0.031116962432861328,0.03944200277328491
1716403993236037000,0.581037109375,-0.26023387908935547,0.06737470626831055,0.13945120573043823
1716403993246168800,0.5911689453125,-0.5090188980102539,0.10565042495727539,0.16539835929870605
1716403993256270300,0.601270263671875,-0.3592853546142578,0.29567480087280273,0.15885627269744873
1716403993266402000,0.611402099609375,0.004706859588623047,0.3939657211303711,0.23860466480255127
1716403993276503300,0.62150341796875,0.19748973846435547,0.40225791931152344,0.39868927001953125
1716403993286635300,0.63163525390625,0.025273799896240234,0.23534631729125977,0.4313328266143799
1716403993296767000,0.64176708984375,-0.36588048934936523,0.005121707916259766,0.27785563468933105
1716403993306868500,0.651868408203125,-0.7670230865478516,-0.18794631958007812,-0.038140177726745605
1716403993317000200,0.662000244140625,-1.0017614364624023,-0.3228440284729004,-0.33241260051727295
1716403993327132200,0.672132080078125,-1.0976271629333496,-0.31752920150756836,-0.4742833375930786
1716403993337233400,0.6822333984375,-1.1127071380615234,-0.26490116119384766,-0.5290785431861877
1716403993347365000,0.692365234375,-1.0379939079284668,-0.24492597579956055,-0.5553269982337952
1716403993357497000,0.7024970703125,-0.9271135330200195,-0.27338647842407227,-0.5497834086418152
1716403993367598300,0.712598388671875,-0.631556510925293,-0.30590152740478516,-0.5569710731506348
1716403993377730300,0.722730224609375,-0.22571086883544922,-0.3118457794189453,-0.5844504833221436
1716403993387862000,0.732862060546875,0.03428173065185547,-0.35337114334106445,-0.5375868678092957
1716403993397994000,0.742993896484375,0.11501121520996094,-0.34926700592041016,-0.4896751642227173
1716403993408095200,0.75309521484375,0.027297019958496094,-0.32239770889282227,-0.46854859590530396
1716403993418227000,0.76322705078125,-0.23580074310302734,-0.251492977142334,-0.4103817939758301
1716403993428359000,0.77335888671875,-0.5038003921508789,-0.10407495498657227,-0.3152715563774109
1716403993438490600,0.78349072265625,-0.6544094085693359,0.046414852142333984,-0.2421695590019226
1716403993448622600,0.79362255859375,-0.6749701499938965,0.0702657699584961,-0.13359683752059937
1716403993458754300,0.80375439453125,-0.5041170120239258,-0.018623828887939453,-0.12608611583709717
1716403993468855800,0.813855712890625,-0.1692180633544922,-0.15203094482421875,-0.23429644107818604
1716403993478987500,0.823987548828125,0.20240211486816406,-0.18615961074829102,-0.40606606006622314
1716403993489119500,0.834119384765625,0.4423670768737793,-0.13219165802001953,-0.5009494423866272
1716403993499251200,0.844251220703125,0.45888710021972656,-0.00852060317993164,-0.43293559551239014
1716403993509383200,0.854383056640625,0.46090269088745117,0.08710241317749023,-0.2974492311477661
1716403993519515000,0.864514892578125,0.48204851150512695,0.14295387268066406,-0.2070854902267456
1716403993529646800,0.874646728515625,0.4754047393798828,0.19660186767578125,-0.17416822910308838
1716403993539778600,0.884778564453125,0.24366331100463867,0.25452280044555664,-0.18907219171524048
